,e1,relation,e2,date,predictions
0,Head of Government (China),Make a visit,South Korea,2014-07-04,"['South Korea', 'Myanmar', 'Foreign Affairs (Italy)', 'Independent Corrupt Practices Commission', 'Ministry (Tunisia)', 'Inter-Services Intelligence', 'Lawmaker (Russia)', 'Mary Robinson', 'Head of Government (China)', 'Amnesty International']"
1,Anders Breivik,Use unconventional violence,Citizen (Norway),2014-09-05,"['Iraq', 'Ombudsman (Georgia)', 'Citizen (Brazil)', 'Anders Breivik', 'National Anti-Corruption Commission (Thailand)', 'Hamad bin Ali al-Attiyah', 'Trade Union Congress', 'Ministry (Bosnia and Herzegovina)', 'Other Authorities / Officials (Romania)', 'Military Personnel (Thailand)']"
2,UN Security Council,Criticize or denounce,North Korea,2014-08-10,"['North Korea', 'Abdul Aziz', 'Governor (Kenya)', 'Heydar Aliyev', 'UN Security Council', 'Head of Government (Kosovo)', 'Special Rapporteurs of the United Nations', 'Jean-Yves Le Drian', 'Michael D. Higgins', 'South Sudan']"
3,Police (Australia),"Return, release person(s)",Citizen (Australia),2014-03-26,"['Citizen (Australia)', 'Member of Parliament (Germany)', 'Dmitry Anatolyevich Medvedev', 'Police (Australia)', 'Lawyer/Attorney (United States)', 'Public Prosecutor (Greece)', 'Shahin Mustafayev', 'Trade Union Congress', 'Anandiben Patel', 'Colombia']"
4,Government (Syria),Sign formal agreement,Armed Rebel (Syria),2014-05-02,"['Toomas Hendrik Ilves', 'Barack Obama', 'Foreign Affairs (Senegal)', 'Government (Syria)', 'Head of Government (Egypt)', 'Sergey Kuzhugetovich Shoygu', 'Inspector General (Colombia)', 'Government Official (United Kingdom)', 'Defense / Security Ministry (Ukraine)', 'Benjamin Netanyahu']"
5,Japan,Express intent to meet or negotiate,China,2014-11-08,"['China', 'Colombia', 'Togo', 'Kuwait', 'Japan', 'Bank (Albania)', 'Dinka', 'Head of Government (Poland)', 'The Standard', 'Thailand']"
6,Barack Obama,Make statement,Japan,2014-04-24,"['Gjorge Ivanov', 'Japan', 'Other Authorities / Officials (Russia)', 'Kyoto University', 'Lawyer/Attorney (Argentina)', 'François Hollande', 'Cabinet / Council of Ministers / Advisors (Angola)', 'Milos Zeman', 'Canada', 'Barack Obama']"
7,Military (France),Mobilize or increase armed forces,France,2014-12-23,"['France', 'Military Personnel (Uganda)', 'Government (United States)', 'Businessperson (Italy)', 'Kyoto University', 'Royal Administration (Jordan)', 'Party Member (United Kingdom)', 'Poland', 'Police (Israel)', 'Military (France)']"
8,Boko Haram,fight with small arms and light weapons,Citizen (Nigeria),2014-11-30,"['Head of Government (Nigeria)', 'Ministry (Nigeria)', 'Labor Union (India)', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'Citizen (Nigeria)', 'Sikh (India)', 'Nasser Judeh', 'Citizen (Yemen)', 'Boko Haram', 'Trade Union Congress']"
9,Leopoldo López,Retreat or surrender militarily,Other Authorities / Officials (Venezuela),2014-02-21,"['Education Ministry (United Arab Emirates)', 'Citizen (Brazil)', 'European Central Bank', 'Leopoldo López', 'The Standard', 'Grand National Party', 'Slovenia', 'Protester (Pakistan)', 'City Mayor (South Africa)', 'Cristina Fernández de Kirchner']"
