,e1,relation,e2,date,predictions
0,China,Criticize or denounce,Japan,2014-09-02,"['Japan', 'Abdul Aziz', 'China', 'Prem Tinsulanonda', 'Royal Thai Police', 'Serbia', 'Military Academy (North Korea)', 'Government Official (Japan)', 'South Korea', 'North Korea']"
1,Police (Australia),Confiscate property,Citizen (Australia),2014-08-01,"['Police (Australia)', 'Inter-Services Intelligence', 'Businessperson (Czech Republic)', 'Citizen (Australia)', 'Cambodia', 'Governor (Kenya)', 'Men (United States)', 'Vojislav Šešelj', 'Israeli Defense Forces', 'Bhutan']"
2,Citizen (Tanzania),Make an appeal or request,Tanzania Investment Centre,2014-07-22,"['Denis Napthine', 'Citizen (Tanzania)', 'Activist (Syria)', 'China', 'Intelligence Officer (Philippines)', 'Indigenous People (Tanzania)', 'People Associated with the Opposition (Bahrain)', 'Media (China)', 'Envoy (United Kingdom)', 'Party Member (Japan)']"
3,Governor (Kenya),Consult,Pokot,2014-12-15,"['China', 'Muhammadu Buhari', 'Governor (Kenya)', 'Court Judge (Yemen)', 'Ministry (Singapore)', 'Protester (Kyrgyzstan)', 'Vietnam', 'Other Authorities / Officials (Libya)', 'Guatemala', 'Trade Union Congress']"
4,Police (Hong Kong),Use conventional military force,Protester (Hong Kong),2014-10-17,"['Police (Hong Kong)', 'Ibrahim Hassan Dankwambo', 'Businessperson (Italy)', 'Progressive Movement', 'Ma Ying Jeou', 'Justice Department/Ministery (Libya)', 'Citizen (Bulgaria)', 'Military Personnel - Special (Afghanistan)', 'Military Personnel (Uganda)', 'Eugene Wamalwa']"
5,Japan,Reject,North Korea,2014-03-17,"['North Korea', 'Japan', 'Catherine Ashton', 'Protester (Thailand)', 'South Korea', 'China', 'UN Security Council', 'Cabinet / Council of Ministers / Advisors (United States)', 'Kim Jong-Un', 'John Kerry']"
6,Police (Australia),Investigate,Citizen (Australia),2014-03-29,"['Police (Australia)', 'Member of Parliament (Australia)', 'Women (Australia)', 'Citizen (Australia)', 'Police (Indonesia)', 'Lawyer/Attorney (Australia)', 'Police (United States)', 'Fire Brigade (Australia)', 'People Associated with the Opposition (Australia)', 'Businessperson (Australia)']"
7,Protester (Bosnia and Herzegovina),Demonstrate or rally,Police (Bosnia and Herzegovina),2014-02-08,"['Protester (Bosnia and Herzegovina)', 'Dmitry Anatolyevich Medvedev', 'Ministry (Nigeria)', 'Uhuru Muigai Kenyatta', 'Cameroon', 'National Security and Intelligence Services', 'Indigenous People (Syria)', 'Citizen (United Kingdom)', 'Military Personnel (India)', 'Head of Government (Senegal)']"
8,John Kerry,Consult,Sergey Viktorovich Lavrov,2014-04-09,"['Sergey Viktorovich Lavrov', 'Indigenous People (Syria)', 'John Kerry', 'Medical Personnel (Jordan)', 'Citizen (United Kingdom)', 'Election Commission (India)', 'Alexander Stubb', 'Ministry (Bosnia and Herzegovina)', 'Head of Government (Qatar)', 'Party Member (Afghanistan)']"
9,John Kerry,Consult,Sergey Viktorovich Lavrov,2014-03-07,"['Sergey Viktorovich Lavrov', 'Indigenous People (Syria)', 'John Kerry', 'Medical Personnel (Jordan)', 'Citizen (United Kingdom)', 'Election Commission (India)', 'Alexander Stubb', 'Ministry (Bosnia and Herzegovina)', 'Head of Government (Qatar)', 'Party Member (Afghanistan)']"
